player_id,player,nfl_team,nfl_season,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_yac,nfl_yac_per_rec
47861,Nick Westbrook-Ikhine,Titans,2022,49,22,7,0.3181818181818182,27,409,3,109,4.0
47861,Nick Westbrook-Ikhine,Titans,2023,48,11,2,0.1818181818181818,30,397,3,125,4.2
47861,Nick Westbrook-Ikhine,Titans,2024,60,15,8,0.5333333333333333,33,520,9,138,4.2
47861,Nick Westbrook-Ikhine,Dolphins,2025,22,4,1,0.25,12,96,0,31,2.6
47864,D.K. Metcalf,Seahawks,2022,151,49,22,0.4489795918367347,93,1156,6,238,2.6
47864,D.K. Metcalf,Seahawks,2023,124,36,10,0.2777777777777778,68,1131,8,370,5.4
47864,D.K. Metcalf,Seahawks,2024,123,47,16,0.3404255319148936,71,1073,5,290,4.1
47864,D.K. Metcalf,Steelers,2025,107,24,9,0.375,64,903,6,426,6.7
47895,Ray-Ray McCloud III,49ers,2022,25,3,2,0.6666666666666666,16,263,1,97,6.1
47895,Ray-Ray McCloud III,49ers,2023,15,1,0,0.0,12,135,0,88,7.3
47895,Ray-Ray McCloud III,Falcons,2024,84,17,8,0.4705882352941176,64,701,1,347,5.4
47895,Ray-Ray McCloud III,Giants,2025,13,1,1,1.0,7,69,0,43,6.1
47901,Andre Baccellia,Cardinals,2022,10,1,1,1.0,7,45,0,13,1.9
47901,Andre Baccellia,Cardinals,2023,0,0,0,,0,0,0,0,0.0
47901,Andre Baccellia,Cardinals,2025,4,0,0,,2,8,0,7,3.5
47908,Cam Sims,Commanders,2022,19,5,2,0.4,8,89,0,22,2.8
47940,Parris Campbell,Colts,2022,91,14,4,0.2857142857142857,63,623,3,285,4.5
47940,Parris Campbell,Giants,2023,28,3,2,0.6666666666666666,21,107,0,69,3.3
47940,Parris Campbell,Eagles,2024,7,1,1,1.0,7,32,1,8,1.1
47961,Braxton Berrios,Jets,2022,34,6,4,0.6666666666666666,20,160,0,115,5.8
47961,Braxton Berrios,Dolphins,2023,34,4,2,0.5,27,238,1,86,3.2
47961,Braxton Berrios,Dolphins,2024,6,2,0,0.0,1,2,0,0,0.0
47961,Braxton Berrios,Texans,2025,8,1,0,0.0,6,37,0,18,3.0
47967,Equanimeous St. Brown,Bears,2022,40,8,2,0.25,21,323,1,98,4.7
47967,Equanimeous St. Brown,Bears,2023,7,0,0,,6,69,0,8,1.3
47967,Equanimeous St. Brown,Saints,2024,0,0,0,,0,0,0,0,0.0
47996,Alex Bachman,Raiders,2024,3,0,0,,3,31,0,10,3.3
47996,Alex Bachman,Raiders,2025,3,2,1,0.5,2,12,0,2,1.0
48017,Keith Kirkwood,Saints,2022,4,2,1,0.5,2,18,0,3,1.5
48017,Keith Kirkwood,Saints,2023,9,1,1,1.0,5,37,1,2,0.4
48021,Trent Sherfield,Dolphins,2022,50,9,6,0.6666666666666666,32,446,2,144,4.5
48021,Trent Sherfield,Bills,2023,24,6,2,0.3333333333333333,11,86,1,47,4.3
48021,Trent Sherfield,Vikings,2024,9,0,0,,8,83,1,38,4.8
48021,Trent Sherfield,Cardinals,2025,5,0,0,,3,21,0,13,4.3
48027,Jauan Jennings,49ers,2022,53,4,2,0.5,35,416,1,176,5.0
48027,Jauan Jennings,49ers,2023,31,6,2,0.3333333333333333,19,265,1,92,4.8
48027,Jauan Jennings,49ers,2024,115,32,20,0.625,77,975,6,239,3.1
48027,Jauan Jennings,49ers,2025,95,35,20,0.5714285714285714,57,655,9,180,3.2
48036,Brandon Powell,Rams,2022,32,2,1,0.5,25,161,0,185,7.4
48036,Brandon Powell,Vikings,2023,45,7,2,0.2857142857142857,29,324,1,102,3.5
48036,Brandon Powell,Vikings,2024,10,1,0,0.0,7,71,0,11,1.6
48037,James Proche II,Ravens,2022,18,1,0,0.0,9,85,0,17,1.9
48037,James Proche II,Browns,2023,4,2,0,0.0,0,0,0,0,0.0
48037,James Proche II,Browns,2024,3,1,1,1.0,3,21,0,4,1.3
48037,James Proche II,Titans,2025,13,3,2,0.6666666666666666,8,86,0,13,1.6
48054,Tyler Johnson,Texans,2022,0,0,0,,0,0,0,0,0.0
48054,Tyler Johnson,Rams,2023,4,1,1,1.0,2,8,1,1,0.5
48054,Tyler Johnson,Rams,2024,41,9,5,0.5555555555555556,27,292,1,187,6.9
