player_id,player,college_team,college_season,college_targets,college_contested_targets,college_contested_receptions,college_cc_rate,college_receptions,college_rec_yards,college_rec_tds,college_yac,college_yac_per_rec
65079,Ryan McDaniel,NC CENT,2021,82,10,5,0.5,55,732,4,334,6.1
65080,Keylon Stokes,TULSA,2021,25,8,2,0.25,12,144,0,60,5.0
65080,Keylon Stokes,TULSA,2022,117,26,15,0.5769230769230769,76,1224,8,416,5.5
66272,Malachi Corley,W KENTUCKY,2021,97,12,3,0.25,67,645,7,381,5.7
66272,Malachi Corley,W KENTUCKY,2022,129,18,7,0.3888888888888889,94,1210,9,922,9.8
66272,Malachi Corley,W KENTUCKY,2023,120,19,4,0.2105263157894736,79,983,11,674,8.5
66581,Christian Watson,N DAK ST,2021,65,7,4,0.5714285714285714,42,822,7,334,8.0
66601,Deyon Campbell,DRAKE,2023,19,1,0,0.0,10,83,0,35,3.5
66604,Cordell Pimienta,FRTVLY,2021,1,0,0,,0,0,0,0,0.0
66711,Davie Henderson,DUQUESNE,2021,48,10,3,0.3,24,269,5,77,3.2
66724,Andrew Edgar,NEW HAMP,2022,15,3,1,0.3333333333333333,7,124,0,31,4.4
66732,Isaiah Hill,E ILLINOIS,2021,66,8,4,0.5,39,497,2,163,4.2
66732,Isaiah Hill,E ILLINOIS,2022,8,1,0,0.0,5,77,0,18,3.6
66732,Isaiah Hill,MURRAY ST,2023,14,1,0,0.0,9,77,0,43,4.8
70363,Isaac Jernagin,S JOSE ST,2022,4,0,0,,3,29,0,30,10.0
70363,Isaac Jernagin,S JOSE ST,2023,19,2,0,0.0,13,161,2,81,6.2
70485,Brenden Hodge,W OREGON,2023,2,0,0,,1,8,0,12,12.0
70591,Chase Nenad,YALE,2021,14,3,1,0.3333333333333333,5,162,3,32,6.4
70591,Chase Nenad,YALE,2022,16,6,2,0.3333333333333333,5,142,2,28,5.6
70591,Chase Nenad,YALE,2023,23,7,3,0.4285714285714285,11,134,1,37,3.4
70657,Zedakiah Centers,CAL POLY,2021,64,4,1,0.25,39,332,0,156,4.0
70657,Zedakiah Centers,CAL POLY,2022,62,8,3,0.375,37,551,5,217,5.9
70721,Kevin Green Jr.,ARIZONA,2022,0,0,0,,0,0,0,0,0.0
